n;f;alpha;tle;avg_latency
50;24;0;5;71.00
50;24;0.1;5;60.20
50;24;0.2;5;61.80
50;24;0.3;5;69.00
50;24;0.4;5;60.40
50;24;0.5;5;68.40
50;24;0.6;5;69.80
50;24;0.7;5;80.60
50;24;0.8;5;82.20
50;24;0.9;5;77.20
50;24;1.0;5;78.00
100;49;0;5;159.80
100;49;0.1;5;154.60
100;49;0.2;5;144.60
100;49;0.3;5;140.60
100;49;0.4;5;138.00
100;49;0.5;5;136.60
100;49;0.6;5;133.80
100;49;0.7;5;155.00
100;49;0.8;5;151.00
100;49;0.9;5;139.60
100;49;1.0;5;142.60
150;74;0;5;207.80
150;74;0.1;5;173.20
150;74;0.2;5;166.40
150;74;0.3;5;185.80
150;74;0.4;5;165.60
150;74;0.5;5;168.80
150;74;0.6;5;193.80
150;74;0.7;5;178.40
150;74;0.8;5;172.40
150;74;0.9;5;175.20
150;74;1.0;5;178.60
200;99;0;5;247.60
200;99;0.1;5;207.60
200;99;0.2;5;196.60
200;99;0.3;5;217.80
200;99;0.4;5;204.60
200;99;0.5;5;198.20
200;99;0.6;5;212.00
200;99;0.7;5;209.20
200;99;0.8;5;197.20
200;99;0.9;5;214.80
200;99;1.0;5;195.40
