n;alpha;t_le;latency
3;0.0;0;8.7418
3;0.0;0;7.0968
3;0.0;0;6.3354
3;0.0;0;9.5133
3;0.0;0;8.7902
3;0.0;2;7.4292
3;0.0;2;7.4489
3;0.0;2;8.0971
3;0.0;2;9.9351
3;0.0;2;7.7986
3;0.0;5;6.0691
3;0.0;5;10.5057
3;0.0;5;7.7666
3;0.0;5;10.0653
3;0.0;5;8.3265
3;0.0;10;6.4063
3;0.0;10;7.0617
3;0.0;10;6.501
3;0.0;10;6.8281
3;0.0;10;10.5408
3;0.0;20;10.5938
3;0.0;20;10.0515
3;0.0;20;7.2172
3;0.0;20;6.828
3;0.0;20;8.6321
3;0.0;50;7.8226
3;0.0;50;7.2284
3;0.0;50;8.7326
3;0.0;50;7.9668
3;0.0;50;7.6614
3;0.0;100;7.2524
3;0.0;100;7.6135
3;0.0;100;7.4808
3;0.0;100;7.5721
3;0.0;100;9.2769
3;0.0;150;6.4431
3;0.0;150;7.2554
3;0.0;150;6.8758
3;0.0;150;7.7937
3;0.0;150;8.4533
3;0.0;200;6.7362
3;0.0;200;6.7615
3;0.0;200;6.5954
3;0.0;200;8.5444
3;0.0;200;7.339
3;0.0;250;8.5738
3;0.0;250;12.2489
3;0.0;250;7.5742
3;0.0;250;13.2896
3;0.0;250;7.0026
3;0.0;300;10.8483
3;0.0;300;7.8744
3;0.0;300;7.3443
3;0.0;300;8.0513
3;0.0;300;7.0281
3;0.0;350;8.3374
3;0.0;350;7.1973
3;0.0;350;9.4196
3;0.0;350;7.2362
3;0.0;350;7.232
3;0.0;400;7.6817
3;0.0;400;8.1632
3;0.0;400;6.8429
3;0.0;400;8.8322
3;0.0;400;7.1859
3;0.0;450;8.1645
3;0.0;450;7.4177
3;0.0;450;7.4898
3;0.0;450;7.2596
3;0.0;450;7.3094
3;0.0;500;6.7082
3;0.0;500;8.2541
3;0.0;500;6.7757
3;0.0;500;10.3046
3;0.0;500;7.1961
3;0.0;550;13.7143
3;0.0;550;9.3049
3;0.0;550;12.1891
3;0.0;550;10.3643
3;0.0;550;9.4996
3;0.0;600;11.2192
3;0.0;600;10.0597
3;0.0;600;6.7271
3;0.0;600;7.4941
3;0.0;600;6.7332
3;0.0;650;10.5224
3;0.0;650;7.1086
3;0.0;650;9.1773
3;0.0;650;7.3135
3;0.0;650;7.5233
3;0.0;700;7.5518
3;0.0;700;8.4733
3;0.0;700;8.3124
3;0.0;700;8.4255
3;0.0;700;9.4795
3;0.0;750;7.8975
3;0.0;750;6.961
3;0.0;750;7.358
3;0.0;750;7.0519
3;0.0;750;7.6678
3;0.0;800;6.7676
3;0.0;800;6.5573
3;0.0;800;7.5073
3;0.0;800;7.8967
3;0.0;800;7.2886
3;0.0;850;7.7636
3;0.0;850;6.1805
3;0.0;850;7.7605
3;0.0;850;8.5587
