n;alpha;t_le;latency
3;0.0;20000;11.169
3;0.0;20000;10.4225
3;0.0;20000;8.4923
3;0.0;20000;8.6147
3;0.0;20000;9.8063
3;0.10000000149011612;20000;8.8205
3;0.10000000149011612;20000;12.6262
3;0.10000000149011612;20000;12.9467
3;0.10000000149011612;20000;10.5757
3;0.10000000149011612;20000;8.7918
3;0.5;20000;25.3763
3;0.5;20000;8.6965
3;0.5;20000;8.3817
3;0.5;20000;9.7808
3;0.5;20000;12.6595
3;1.0;20000;11.0411
3;1.0;20000;15.1397
3;1.0;20000;12.951
3;1.0;20000;16.7273
3;1.0;20000;12.7169
5;0.0;20000;11.5346
5;0.0;20000;20.7602
5;0.0;20000;11.7855
5;0.0;20000;13.428
5;0.0;20000;12.8306
5;0.10000000149011612;20000;23.7388
5;0.10000000149011612;20000;20.9314
5;0.10000000149011612;20000;19.8474
5;0.10000000149011612;20000;18.3107
5;0.10000000149011612;20000;27.7105
5;0.5;20000;13.8438
5;0.5;20000;13.0921
5;0.5;20000;12.8626
5;0.5;20000;9.5184
5;0.5;20000;12.2697
5;1.0;20000;11.239
5;1.0;20000;16.037
5;1.0;20000;13.3853
5;1.0;20000;11.9474
5;1.0;20000;11.2356
10;0.0;20000;51.0732
10;0.0;20000;14.3805
10;0.0;20000;25.6636
10;0.0;20000;54.2144
10;0.0;20000;34.7792
10;0.10000000149011612;20000;17.1708
10;0.10000000149011612;20000;34.9408
10;0.10000000149011612;20000;55.3287
10;0.10000000149011612;20000;70.0046
10;0.10000000149011612;20000;26.376
10;0.5;20000;21.3138
10;0.5;20000;38.7138
10;0.5;20000;49.5439
10;0.5;20000;125.0679
10;0.5;20000;75.8818
10;1.0;20000;29.6389
10;1.0;20000;24.3325
10;1.0;20000;39.1149
10;1.0;20000;26.1191
10;1.0;20000;21.8666
20;0.0;20000;27.078
20;0.0;20000;185.3267
20;0.0;20000;347.3186
20;0.0;20000;459.6759
20;0.0;20000;502.1742
20;0.10000000149011612;20000;446.6899
20;0.10000000149011612;20000;92.659
20;0.10000000149011612;20000;252.8052
20;0.10000000149011612;20000;182.1455
20;0.10000000149011612;20000;333.4626
20;0.5;20000;318.1908
20;0.5;20000;97.2877
20;0.5;20000;539.042
20;0.5;20000;203.757
20;0.5;20000;481.0974
20;1.0;20000;190.2519
20;1.0;20000;94.2355
20;1.0;20000;98.7752
20;1.0;20000;98.4007
20;1.0;20000;409.7808
30;0.0;20000;64.7732
30;0.0;20000;581.1741
30;0.0;20000;456.9068
30;0.0;20000;567.5304
30;0.0;20000;869.7912
30;0.10000000149011612;20000;1084.6423
30;0.10000000149011612;20000;336.9806
30;0.10000000149011612;20000;541.1841
30;0.10000000149011612;20000;421.0083
30;0.10000000149011612;20000;511.1363
30;0.5;20000;360.8252
30;0.5;20000;458.1571
30;0.5;20000;367.0457
30;0.5;20000;202.426
30;0.5;20000;488.5268
30;1.0;20000;233.8528
30;1.0;20000;783.6541
30;1.0;20000;452.0622
30;1.0;20000;277.1412
30;1.0;20000;134.0421
40;0.0;20000;4227.0778
40;0.0;20000;2868.9696
40;0.0;20000;1525.5577
40;0.0;20000;620.5206
40;0.0;20000;2363.9695
40;0.10000000149011612;20000;168.0205
40;0.10000000149011612;20000;4596.501
40;0.10000000149011612;20000;715.8059
40;0.10000000149011612;20000;1287.8769
40;0.10000000149011612;20000;2068.2896
40;0.5;20000;2007.9791
40;0.5;20000;1058.4271
40;0.5;20000;1115.9341
40;0.5;20000;1437.9845
40;0.5;20000;1530.33
40;1.0;20000;581.64
40;1.0;20000;3372.5171
40;1.0;20000;397.4346
40;1.0;20000;564.6902
40;1.0;20000;512.261
50;0.0;20000;1378.2844
50;0.0;20000;1120.5404
50;0.0;20000;698.0024
50;0.0;20000;1681.4559
50;0.0;20000;1864.4045
50;0.10000000149011612;20000;2372.7375
50;0.10000000149011612;20000;4661.8715
50;0.10000000149011612;20000;1333.9567
50;0.10000000149011612;20000;1261.955
50;0.10000000149011612;20000;1880.5757
50;0.5;20000;3105.8115
50;0.5;20000;2733.7864
50;0.5;20000;2014.366
50;0.5;20000;1518.4608
50;0.5;20000;795.4034
50;1.0;20000;664.721
50;1.0;20000;2099.1433
50;1.0;20000;689.4221
50;1.0;20000;851.6479
50;1.0;20000;3246.9318
60;0.0;20000;3324.5065
60;0.0;20000;7028.905
60;0.0;20000;1592.2365
60;0.0;20000;630.9948
60;0.0;20000;414.4319
60;0.10000000149011612;20000;983.0106
60;0.10000000149011612;20000;12135.0102
60;0.10000000149011612;20000;9259.5746
60;0.10000000149011612;20000;1070.4907
60;0.10000000149011612;20000;2111.0481
60;0.5;20000;1042.4075
60;0.5;20000;3719.7381
60;0.5;20000;5736.8837
60;0.5;20000;390.6792
60;0.5;20000;3028.8374
60;1.0;20000;4223.367
60;1.0;20000;3340.7745
60;1.0;20000;4320.4207
60;1.0;20000;4195.0057
60;1.0;20000;1850.5674
70;0.0;20000;14051.0195
70;0.0;20000;9595.6862
70;0.0;20000;3997.0792
70;0.0;20000;2374.6464
70;0.0;20000;15882.1504
70;0.10000000149011612;20000;9137.0998
70;0.10000000149011612;20000;1582.1178
70;0.10000000149011612;20000;20051.7888
70;0.10000000149011612;20000;3269.989
70;0.10000000149011612;20000;11231.8734
70;0.5;20000;3700.1796
70;0.5;20000;10973.7117
70;0.5;20000;8248.5134
70;0.5;20000;9789.2506
70;0.5;20000;1635.3654
70;1.0;20000;863.0899
70;1.0;20000;12066.052
70;1.0;20000;1945.9025
70;1.0;20000;312.9726
70;1.0;20000;17724.2835
80;0.0;20000;20077.9173
80;0.0;20000;20156.4353
80;0.0;20000;20105.8571
80;0.0;20000;20189.9433
80;0.0;20000;1070.6036
80;0.5;20000;20049.2102
80;0.5;20000;6372.1222
80;0.5;20000;20061.6125
80;0.5;20000;4409.7243
80;0.5;20000;7394.7495
80;1.0;20000;12165.2957
80;1.0;20000;20078.9109
80;1.0;20000;20054.2514
80;1.0;20000;10916.0073
80;1.0;20000;2583.9093
90;0.0;20000;10222.0329
