n;alpha;t_le;latency
50;0.0;0;43.5634
50;0.0;0;86.5523
50;0.0;0;85.8583
50;0.0;0;50.6801
50;0.0;0;354.0227
50;0.0;250;368.1113
50;0.0;250;363.2873
50;0.0;250;330.8585
50;0.0;250;340.8092
50;0.0;250;342.1228
50;0.0;500;591.7056
50;0.0;500;648.2915
50;0.0;500;634.4718
50;0.0;500;546.209
50;0.0;500;576.567
50;0.0;750;823.857
50;0.0;750;818.9065
50;0.0;750;829.2583
50;0.0;750;940.0113
50;0.0;750;826.0515
50;0.0;1000;1048.8208
50;0.0;1000;1036.9638
50;0.0;1000;1068.6904
50;0.0;1000;1045.7596
50;0.0;1000;1025.3625
50;0.0;1250;1293.2701
50;0.0;1250;1272.5766
50;0.0;1250;1329.3666
50;0.0;1250;932.1622
50;0.0;1250;1249.3184
50;0.0;1500;1569.0092
50;0.0;1500;847.8345
50;0.0;1500;1587.7351
50;0.0;1500;202.37
50;0.0;1500;842.1949
50;0.0;1750;1769.549
50;0.0;1750;1365.877
50;0.0;1750;1924.0205
50;0.0;1750;928.3211
50;0.0;1750;1517.2251
50;0.0;2000;1714.6561
50;0.0;2000;1262.3845
50;0.0;2000;1405.855
50;0.0;2000;1253.1461
50;0.0;2000;2122.1584
50;0.0;2250;2336.7209
50;0.0;2250;1764.1081
50;0.0;2250;2288.1388
50;0.0;2250;1924.5257
50;0.0;2250;2506.3817
50;0.0;2500;1177.8966
50;0.0;2500;2530.5645
50;0.0;2500;2543.071
50;0.0;2500;2497.4631
50;0.0;2500;2545.6811
50;0.0;2750;1043.2693
50;0.0;2750;1250.3324
50;0.0;2750;794.8864
50;0.0;2750;720.1509
50;0.0;2750;1891.287
50;0.0;3000;1903.0466
50;0.0;3000;2221.6451
50;0.0;3000;1497.7421
50;0.0;3000;1083.3508
50;0.0;3000;1474.6342
50;0.0;3250;3289.4704
50;0.0;3250;2366.6322
50;0.0;3250;372.083
50;0.0;3250;1248.9103
50;0.0;3250;1149.8918
50;0.0;3500;2872.5461
50;0.0;3500;2691.4378
50;0.0;3500;1174.9848
50;0.0;3500;2650.7517
50;0.0;3500;673.7494
50;0.0;3750;1262.8922
50;0.0;3750;766.4484
50;0.0;3750;1290.5345
50;0.0;3750;779.0997
50;0.0;3750;3795.7864
50;0.0;4000;444.4901
50;0.0;4000;930.9537
50;0.0;4000;1105.7837
50;0.0;4000;3227.8718
50;0.0;4000;192.6397
50;0.0;4250;762.344
50;0.0;4250;624.7678
50;0.0;4250;2346.2706
50;0.0;4250;1073.1832
50;0.0;4250;3212.5536
50;0.0;4500;2375.7082
50;0.0;4500;2043.9223
50;0.0;4500;393.1142
50;0.0;4500;244.5832
50;0.0;4500;2485.7442
50;0.0;4750;859.5088
50;0.0;4750;3638.5903
50;0.0;4750;2029.1835
50;0.0;4750;2904.2238
50;0.0;4750;2380.389
50;0.0;5000;2747.0414
50;0.0;5000;1391.5014
50;0.0;5000;421.7886
50;0.0;5000;3764.4788
50;0.0;5000;2667.2536
50;0.1;0;48.6422
50;0.1;0;84.6242
50;0.1;0;44.2498
50;0.1;0;60.0307
50;0.1;0;42.491
50;0.1;250;333.9839
50;0.1;250;372.078
50;0.1;250;292.1066
50;0.1;250;278.5365
50;0.1;250;375.8367
50;0.1;500;565.3331
50;0.1;500;603.5198
50;0.1;500;538.1952
50;0.1;500;420.9575
50;0.1;500;598.2023
50;0.1;750;793.5474
50;0.1;750;790.6257
50;0.1;750;475.6976
50;0.1;750;719.0392
50;0.1;750;770.191
50;0.1;1000;988.515
50;0.1;1000;1018.8238
50;0.1;1000;713.2616
50;0.1;1000;391.2432
50;0.1;1000;844.946
50;0.1;1250;287.2974
50;0.1;1250;1321.9184
50;0.1;1250;1032.1543
50;0.1;1250;862.7362
50;0.1;1250;1284.5025
50;0.1;1500;984.8542
50;0.1;1500;939.0803
50;0.1;1500;1417.6044
50;0.1;1500;506.8074
50;0.1;1500;319.3741
50;0.1;1750;284.568
50;0.1;1750;1198.2703
50;0.1;1750;315.5671
50;0.1;1750;761.5917
50;0.1;1750;507.6374
50;0.1;2000;667.1951
50;0.1;2000;2060.4117
50;0.1;2000;958.8214
50;0.1;2000;1145.406
50;0.1;2000;258.8229
50;0.1;2250;1005.8425
50;0.1;2250;468.3275
50;0.1;2250;888.9483
50;0.1;2250;2023.6234
50;0.1;2250;945.8214
50;0.1;2500;873.9131
50;0.1;2500;695.1009
50;0.1;2500;956.2436
50;0.1;2500;325.6607
50;0.1;2500;751.4967
50;0.1;2750;198.5672
50;0.1;2750;1378.4533
50;0.1;2750;651.8271
50;0.1;2750;690.8527
50;0.1;2750;1635.2706
50;0.1;3000;983.2956
50;0.1;3000;1245.6883
50;0.1;3000;810.0601
50;0.1;3000;632.188
50;0.1;3000;829.3913
50;0.1;3250;707.7428
50;0.1;3250;1168.1478
50;0.1;3250;3261.6992
50;0.1;3250;1777.6017
50;0.1;3250;888.8545
50;0.1;3500;675.1737
50;0.1;3500;808.6431
50;0.1;3500;1976.5248
50;0.1;3500;260.4742
50;0.1;3500;787.529
50;0.1;3750;1020.3977
50;0.1;3750;976.4398
50;0.1;3750;1002.7129
50;0.1;3750;664.2389
50;0.1;3750;431.7725
50;0.1;4000;353.6123
50;0.1;4000;822.3219
50;0.1;4000;237.712
50;0.1;4000;646.128
50;0.1;4000;430.9818
50;0.1;4250;771.5815
50;0.1;4250;328.5271
50;0.1;4250;398.3683
50;0.1;4250;762.9468
50;0.1;4250;195.8065
50;0.1;4500;1376.7923
50;0.1;4500;447.8765
50;0.1;4500;597.0122
50;0.1;4500;543.6941
50;0.1;4500;1590.4809
50;0.1;4750;701.4522
50;0.1;4750;1914.6081
50;0.1;4750;299.2153
50;0.1;4750;999.5097
50;0.1;4750;410.6184
50;0.1;5000;987.9623
50;0.1;5000;767.7143
50;0.1;5000;506.7051
50;0.1;5000;330.1125
50;0.1;5000;577.3788
50;0.5;0;89.5491
50;0.5;0;36.8286
50;0.5;0;48.4445
50;0.5;0;82.2092
50;0.5;0;51.3256
50;0.5;250;325.9272
50;0.5;250;399.6737
50;0.5;250;351.1953
50;0.5;250;328.4364
50;0.5;250;281.3145
50;0.5;500;561.4689
50;0.5;500;547.221
50;0.5;500;529.5776
50;0.5;500;577.0266
50;0.5;500;612.879
50;0.5;750;789.9561
50;0.5;750;264.4113
50;0.5;750;620.6243
50;0.5;750;812.7088
50;0.5;750;311.0257
50;0.5;1000;1038.9781
50;0.5;1000;365.2165
50;0.5;1000;887.1594
50;0.5;1000;1039.1709
50;0.5;1000;733.1173
50;0.5;1250;1086.0764
50;0.5;1250;623.1039
50;0.5;1250;264.0661
50;0.5;1250;904.9065
50;0.5;1250;1295.7622
50;0.5;1500;1504.4975
50;0.5;1500;1363.5611
50;0.5;1500;1521.8668
50;0.5;1500;782.1073
50;0.5;1500;639.3667
50;0.5;1750;739.1232
50;0.5;1750;396.5368
50;0.5;1750;1106.5092
50;0.5;1750;655.3536
50;0.5;1750;744.9833
50;0.5;2000;361.6242
50;0.5;2000;499.57
50;0.5;2000;1261.2901
50;0.5;2000;1003.0963
50;0.5;2000;285.6635
50;0.5;2250;1110.4995
50;0.5;2250;723.7338
