[[1;33mWARNING[m] 
[[1;33mWARNING[m] Some problems were encountered while building the effective settings
[[1;33mWARNING[m] Unrecognised tag: 'blocked' (position: START_TAG seen ...</url>\n      <blocked>... @164:16)  @ /usr/share/maven/conf/settings.xml, line 164, column 16
[[1;33mWARNING[m] 
[[1;34mINFO[m] Scanning for projects...
[[1;34mINFO[m] 
[[1;34mINFO[m] [1m-------------------------< [0;36mcom.example:synod[0;1m >--------------------------[m
[[1;34mINFO[m] [1mBuilding synod 1.0[m
[[1;34mINFO[m] [1m--------------------------------[ jar ]---------------------------------[m
[[1;34mINFO[m] 
[[1;34mINFO[m] [1m--- [0;32mexec-maven-plugin:3.0.0:exec[m [1m(default-cli)[m @ [36msynod[0;1m ---[m
22:55:56.988 [system-akka.actor.default-dispatcher-6] INFO akka.event.slf4j.Slf4jLogger - Slf4jLogger started
22:55:57.462 [system-akka.actor.default-dispatcher-6] INFO akka.actor.ActorSystemImpl - System started with N=100
22:55:58.722 [system-akka.actor.default-dispatcher-13] INFO com.example.synod.Process - p70 - CRASHED
22:55:59.822 [system-akka.actor.default-dispatcher-12] INFO com.example.synod.Process - p19 - HOLD received
22:55:59.990 [system-akka.actor.default-dispatcher-12] INFO com.example.synod.Process - p15 - HOLD received
22:55:59.990 [system-akka.actor.default-dispatcher-12] INFO com.example.synod.Process - p91 - HOLD received
22:55:59.992 [system-akka.actor.default-dispatcher-12] INFO com.example.synod.Process - p79 - HOLD received
22:56:00.188 [system-akka.actor.default-dispatcher-12] INFO com.example.synod.Process - p46 - HOLD received
22:56:00.774 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p45 - HOLD received
22:56:01.272 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p84 - HOLD received
22:56:01.347 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p17 - HOLD received
22:56:01.422 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p20 - HOLD received
22:56:01.461 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p30 - HOLD received
22:56:04.159 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p32 - HOLD received
22:56:04.159 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p26 - HOLD received
22:56:04.159 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p83 - HOLD received
22:56:04.159 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p51 - HOLD received
22:56:04.160 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p49 - HOLD received
22:56:04.302 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p81 - HOLD received
22:56:04.302 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p24 - HOLD received
22:56:04.311 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p42 - HOLD received
22:56:04.312 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p71 - HOLD received
22:56:04.312 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p77 - HOLD received
22:56:04.312 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p74 - HOLD received
22:56:04.312 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p38 - HOLD received
22:56:04.312 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p56 - HOLD received
22:56:04.312 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p37 - HOLD received
22:56:04.313 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p39 - HOLD received
22:56:04.318 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p90 - HOLD received
22:56:04.319 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p59 - HOLD received
22:56:04.319 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p86 - HOLD received
22:56:04.319 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p85 - HOLD received
22:56:04.319 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p40 - HOLD received
22:56:04.319 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p14 - HOLD received
22:56:04.325 [system-akka.actor.default-dispatcher-6] INFO com.example.synod.Process - p36 - HOLD received
22:56:04.460 [system-akka.actor.default-dispatcher-7] INFO com.example.synod.Process - p78 - HOLD received
22:56:04.488 [system-akka.actor.default-dispatcher-7] INFO com.example.synod.Process - p34 - HOLD received
22:56:04.488 [system-akka.actor.default-dispatcher-7] INFO com.example.synod.Process - p23 - HOLD received
22:56:04.499 [system-akka.actor.default-dispatcher-8] INFO com.example.synod.Process - p57 - HOLD received
22:56:04.509 [system-akka.actor.default-dispatcher-8] INFO com.example.synod.Process - p12 - HOLD received
22:56:04.520 [system-akka.actor.default-dispatcher-10] INFO com.example.synod.Process - p64 - HOLD received
22:56:04.543 [system-akka.actor.default-dispatcher-12] INFO com.example.synod.Process - p53 - HOLD received
22:56:04.664 [system-akka.actor.default-dispatcher-10] INFO com.example.synod.Process - p73 - HOLD received
22:56:04.693 [system-akka.actor.default-dispatcher-9] INFO com.example.synod.Process - p60 - HOLD received
22:56:04.700 [system-akka.actor.default-dispatcher-10] INFO com.example.synod.Process - p16 - HOLD received
22:56:04.722 [system-akka.actor.default-dispatcher-11] INFO com.example.synod.Process - p65 - HOLD received
22:56:04.724 [system-akka.actor.default-dispatcher-11] INFO com.example.synod.Process - p61 - HOLD received
